## Wed Oct 13 12:46:17 2021
## emapper-2.1.6
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
lcl|LT708304.1_prot_SIT98356.1_11	419947.MRA_0013	1.4e-58	181.0	2B592@1|root,31Y35@2|Bacteria,2HZN5@201174|Actinobacteria,23A12@1762|Mycobacteriaceae	201174|Actinobacteria	D	Cell division protein CrgA	crgA	-	-	-	-	-	-	-	-	-	-	-	CrgA
lcl|LT708304.1_prot_SIT98357.1_12	419947.MRA_0014	3.54e-184	512.0	COG3879@1|root,COG3879@2|Bacteria,2GJ9Y@201174|Actinobacteria,233AR@1762|Mycobacteriaceae	201174|Actinobacteria	S	Bacterial protein of unknown function (DUF881)	-	-	-	-	-	-	-	-	-	-	-	-	DUF881
lcl|LT708304.1_prot_SIT98358.1_13	419947.MRA_0015	6.9e-167	466.0	COG0512@1|root,COG0512@2|Bacteria,2GJUX@201174|Actinobacteria,234HI@1762|Mycobacteriaceae	201174|Actinobacteria	EH	Anthranilate synthase	trpG	GO:0000162,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0005950,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016020,GO:0016053,GO:0018130,GO:0019438,GO:0019752,GO:0032991,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:0071944,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494	2.6.1.85,4.1.3.27	ko:K01658,ko:K01664	ko00400,ko00405,ko00790,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map00790,map01100,map01110,map01130,map01230,map02024,map02025	M00023	R00985,R00986,R01716	RC00010,RC01418,RC02148,RC02414	ko00000,ko00001,ko00002,ko01000	-	-	-	GATase
lcl|LT708304.1_prot_SIT98359.1_14	419947.MRA_0016	0.0	1211.0	COG0515@1|root,COG2815@1|root,COG0515@2|Bacteria,COG2815@2|Bacteria,2GJ1J@201174|Actinobacteria,233BZ@1762|Mycobacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknB	GO:0000270,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005623,GO:0006022,GO:0006023,GO:0006024,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008047,GO:0008150,GO:0008152,GO:0008360,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009605,GO:0009607,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010565,GO:0010698,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0022603,GO:0022604,GO:0030145,GO:0030203,GO:0030234,GO:0030312,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032091,GO:0034645,GO:0036211,GO:0040007,GO:0042304,GO:0042546,GO:0042802,GO:0043085,GO:0043086,GO:0043167,GO:0043169,GO:0043170,GO:0043207,GO:0043388,GO:0043393,GO:0043412,GO:0044036,GO:0044038,GO:0044085,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044464,GO:0045717,GO:0045833,GO:0045922,GO:0046777,GO:0046872,GO:0046890,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051055,GO:0051098,GO:0051099,GO:0051100,GO:0051101,GO:0051128,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:0075136,GO:0080090,GO:0098772,GO:0140096,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	PASTA,Pkinase
lcl|LT708304.1_prot_SIT98360.1_15	419947.MRA_0017	4.77e-306	835.0	COG0515@1|root,COG0515@2|Bacteria,2GMPZ@201174|Actinobacteria,232EX@1762|Mycobacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknA	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008360,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010565,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019216,GO:0019217,GO:0019222,GO:0019538,GO:0022603,GO:0022604,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0036211,GO:0040007,GO:0042304,GO:0043085,GO:0043086,GO:0043170,GO:0043388,GO:0043412,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045717,GO:0045833,GO:0045922,GO:0046777,GO:0046890,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0051055,GO:0051098,GO:0051099,GO:0051101,GO:0051128,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0071704,GO:0071944,GO:0080090,GO:0140096,GO:1901564	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase
lcl|LT708304.1_prot_SIT98361.1_16	419947.MRA_0018	0.0	947.0	COG0768@1|root,COG0768@2|Bacteria,2GJUQ@201174|Actinobacteria,235TI@1762|Mycobacteriaceae	201174|Actinobacteria	M	penicillin-binding protein	pbpA	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	ko:K05364	ko00550,map00550	-	R04519	RC00005,RC00049	ko00000,ko00001,ko01011	-	-	-	Transpeptidase
lcl|LT708304.1_prot_SIT98362.1_17	419947.MRA_0019	0.0	896.0	COG0772@1|root,COG0772@2|Bacteria,2GJTI@201174|Actinobacteria,232FE@1762|Mycobacteriaceae	201174|Actinobacteria	D	Belongs to the SEDS family	rodA	GO:0002682,GO:0002684,GO:0008150,GO:0009605,GO:0009607,GO:0009987,GO:0035821,GO:0043207,GO:0044003,GO:0044403,GO:0044419,GO:0048518,GO:0048583,GO:0048584,GO:0050776,GO:0050778,GO:0050789,GO:0050896,GO:0051301,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052255,GO:0052552,GO:0052553,GO:0052555,GO:0052556,GO:0052564,GO:0052572,GO:0065007,GO:0075136	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
lcl|LT708304.1_prot_SIT98363.1_18	419947.MRA_0020	0.0	914.0	COG0631@1|root,COG3266@1|root,COG0631@2|Bacteria,COG3266@2|Bacteria,2GJ3M@201174|Actinobacteria,2341C@1762|Mycobacteriaceae	201174|Actinobacteria	T	PFAM Protein phosphatase 2C	pstP	GO:0000287,GO:0001932,GO:0001933,GO:0003674,GO:0003824,GO:0004647,GO:0004721,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0006464,GO:0006469,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009892,GO:0009987,GO:0010563,GO:0010605,GO:0016020,GO:0016021,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019220,GO:0019222,GO:0019538,GO:0030145,GO:0030312,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0033673,GO:0036211,GO:0042325,GO:0042326,GO:0042578,GO:0043085,GO:0043086,GO:0043167,GO:0043169,GO:0043170,GO:0043392,GO:0043412,GO:0043549,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0045859,GO:0045936,GO:0046872,GO:0046914,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051098,GO:0051100,GO:0051101,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051338,GO:0051348,GO:0060255,GO:0065007,GO:0065009,GO:0071704,GO:0071944,GO:0080090,GO:0140096,GO:1901564	3.1.3.16	ko:K20074	-	-	-	-	ko00000,ko01000,ko01009	-	-	-	PP2C,PP2C_2
lcl|LT708304.1_prot_SIT98364.1_19	419947.MRA_0021	2.4e-102	296.0	COG1716@1|root,COG1716@2|Bacteria,2GKA7@201174|Actinobacteria,232PU@1762|Mycobacteriaceae	201174|Actinobacteria	T	FHA domain-containing protein	fhaB	GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0006950,GO:0006979,GO:0008150,GO:0009987,GO:0016020,GO:0040007,GO:0044110,GO:0044116,GO:0044117,GO:0044119,GO:0044403,GO:0044419,GO:0044464,GO:0050896,GO:0051301,GO:0051704,GO:0071944	-	-	-	-	-	-	-	-	-	-	FHA,Yop-YscD_cpl
lcl|LT708304.1_prot_SIT98365.1_20	419947.MRA_0022	7.35e-309	850.0	COG1716@1|root,COG1716@2|Bacteria,2GNU2@201174|Actinobacteria,234GB@1762|Mycobacteriaceae	201174|Actinobacteria	T	Fha domain	fhaA	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0030312,GO:0044424,GO:0044444,GO:0044464,GO:0071944,GO:0097159,GO:1901363	-	-	-	-	-	-	-	-	-	-	DUF3662,FHA,Yop-YscD_cpl
lcl|LT708304.1_prot_SIT98366.1_21	419947.MRA_0023	3.64e-223	616.0	COG2070@1|root,COG2070@2|Bacteria,2GKA6@201174|Actinobacteria,235GN@1762|Mycobacteriaceae	201174|Actinobacteria	S	2-nitropropane dioxygenase	-	GO:0000166,GO:0001775,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0003674,GO:0003824,GO:0003938,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006164,GO:0006183,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006887,GO:0006955,GO:0007623,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0012505,GO:0016192,GO:0016491,GO:0016614,GO:0016616,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030141,GO:0031410,GO:0031974,GO:0031982,GO:0031983,GO:0032940,GO:0034404,GO:0034641,GO:0034654,GO:0034774,GO:0036094,GO:0036230,GO:0042119,GO:0042278,GO:0042451,GO:0042455,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043299,GO:0043312,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044433,GO:0044444,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0046039,GO:0046128,GO:0046129,GO:0046390,GO:0046483,GO:0046903,GO:0048511,GO:0050896,GO:0051179,GO:0051234,GO:0055086,GO:0055114,GO:0060205,GO:0070013,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097708,GO:0099503,GO:0101002,GO:1901068,GO:1901070,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659,GO:1904813	1.13.12.16	ko:K00459	ko00910,map00910	-	R00025	RC02541,RC02759	ko00000,ko00001,ko01000	-	-	-	NMO
lcl|LT708304.1_prot_SIT98368.1_22	419947.MRA_0025	1.91e-98	285.0	2AU18@1|root,31JMD@2|Bacteria,2IJK9@201174|Actinobacteria,238RJ@1762|Mycobacteriaceae	201174|Actinobacteria	K	Acts as a transcriptional regulator. Probably redox- responsive. The apo- but not holo-form probably binds DNA	whiB5	GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	-	ko:K18956	-	-	-	-	ko00000,ko03000	-	-	-	Whib
lcl|LT708304.1_prot_SIT98371.1_23	419947.MRA_0026	2.57e-174	487.0	COG1396@1|root,COG1396@2|Bacteria,2GMSM@201174|Actinobacteria,233FD@1762|Mycobacteriaceae	201174|Actinobacteria	K	Helix-turn-helix	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,HTH_31
lcl|LT708304.1_prot_SIT98373.1_24	419947.MRA_0027	1.77e-116	342.0	COG0791@1|root,COG0791@2|Bacteria,2GIWB@201174|Actinobacteria,233PC@1762|Mycobacteriaceae	201174|Actinobacteria	M	NlpC/P60 family	-	-	-	ko:K21471	-	-	-	-	ko00000,ko01000,ko01002,ko01011	-	-	-	NLPC_P60,PG_binding_1
lcl|LT708304.1_prot_25	419947.MRA_0027	9.38e-57	182.0	COG0791@1|root,COG0791@2|Bacteria,2GIWB@201174|Actinobacteria,233PC@1762|Mycobacteriaceae	201174|Actinobacteria	M	NlpC/P60 family	-	-	-	ko:K21471	-	-	-	-	ko00000,ko01000,ko01002,ko01011	-	-	-	NLPC_P60,PG_binding_1
lcl|LT708304.1_prot_SIT98375.1_26	419947.MRA_0028	1.81e-69	211.0	2BA8J@1|root,323NN@2|Bacteria,2IR1P@201174|Actinobacteria,23AN4@1762|Mycobacteriaceae	201174|Actinobacteria	S	Domain of unknown function (DUF4226)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4226
lcl|LT708304.1_prot_SIT98377.1_27	419947.MRA_0029	6.3e-286	786.0	2ATF1@1|root,31IYH@2|Bacteria,2IAF1@201174|Actinobacteria,234NI@1762|Mycobacteriaceae	201174|Actinobacteria	S	Domain of unknown function (DUF4226)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4226
lcl|LT708304.1_prot_SIT98378.1_28	419947.MRA_0030	4.22e-70	211.0	2AVCJ@1|root,31M40@2|Bacteria,2IMMI@201174|Actinobacteria,23A43@1762|Mycobacteriaceae	201174|Actinobacteria	S	Excreted virulence factor EspC, type VII ESX diderm	-	-	-	-	-	-	-	-	-	-	-	-	T7SS_ESX_EspC
